fresh_id,status,method,reason,probes
C18-18.1-006,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C18-18.1-007,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C18-18.2-001,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C18-18.2-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-submit
C18-18.2-003,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C18-18.2-003b,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C18-18.2-004,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-messages
C18-18.2-005,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-backend
C18-18.2-005b,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-presents
C18-18.2-006,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-deterministic
C18-18.2-007,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-validation
C18-18.2-008,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-client
C18-18.2-008b,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-server
C18-18.2-009,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-messages
C18-18.2-010,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-warnings
C18-18.2-010b,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-validation
C18-18.2-011,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-duplicate
C18-18.3-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C19-19.1-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C19-19.2-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C19-19.2-002,PASS,evidence_based_probes,,keyword-duplicate
C19-19.3-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C19-19.3-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-sensitive
C19-19.4-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C19-19.4-002,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C19-19.5-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C19-19.5-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C19-19.6-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C19-19.7-001,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C20-20.1-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C20-20.2-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C20-20.3-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C20-20.4-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C20-20.4-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C20-20.5-001,PASS,evidence_based_probes,,keyword-notify
C20-20.6-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C21-21.1-001,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C21-21.2-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C21-21.2-002,PASS,evidence_based_probes,,keyword-block
C21-21.3-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-loading
C21-21.4-001,UNVERIFIED / BLOCKED,evidence_based_probes,,
C21-21.4-002,UNVERIFIED / BLOCKED,evidence_based_probes,,
C21-21.5-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C22-22.1-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-maintain
C22-22.2-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-every
C22-22.3-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-single
C22-22.3-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-immutable
C22-22.3-003,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-display
C22-22.3-004,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-timeline
C22-22.3-005,UNVERIFIED / BLOCKED,evidence_based_probes,,concurrency-svc
C22-22.4-001,UNVERIFIED / BLOCKED,evidence_based_probes,,grn-print-guard|breakage-print-unconditional
C23-23.1-001,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C23-23.2-001,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C23-23.3-001,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C23-23.3-002,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C23-23.3-003,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C23-23.3-004,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C23-23.4-001,PARTIAL,evidence_based_probes,,keyboard-directive-exists|keyboard-template-adoption
C23-23.4-002,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C23-23.4-003,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C23-23.4-004,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C23-23.5-001,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C23-23.6-001,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C23-23.6-002,FAIL,evidence_based_probes,,runtime-RS-XT-001|runtime-XT-A-READ-B-getPass|runtime-XT-A-WRONG-TENANT-getPass|runtime-XT-A-MUT-B-getPass|runtime-XT-B-READ-A-getPass
C23-23.6-003,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C23-23.6-004,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C23-23.7-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C24-24.1-001,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C24-24.1-002,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C24-24.2-001,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C24-24.2-002,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C24-24.2-003,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C24-24.3-001,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C24-24.3-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C24-24.4-001,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C24-24.4-002,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C24-24.4-003,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C24-24.4-004,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C24-24.4-005,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C24-24.5-001,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C24-24.5-002,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C24-24.5-003,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C24-24.6-001,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C24-24.6-002,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C24-24.7-001,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C25-25.1-001,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C25-25.1-002,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C25-25.2-001,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C25-25.2-002,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C25-25.2-003,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-modules
C25-25.2-004,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-modules
C25-25.3-001,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C25-25.4-001,UNVERIFIED / BLOCKED,evidence_based_probes,,
C25-25.5-001,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C25-25.5-002,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C25-25.6-001,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C25-25.7-001,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C25-25.8-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C26-26.2-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-electronic
C26-26.2-002,UNVERIFIED / BLOCKED,evidence_based_probes,,grn-print-guard|breakage-print-unconditional
C26-26.3-001,UNVERIFIED / BLOCKED,evidence_based_probes,,grn-print-guard|breakage-print-unconditional
C26-26.3-002,UNVERIFIED / BLOCKED,evidence_based_probes,,grn-print-guard|breakage-print-unconditional
C26-26.4-001,UNVERIFIED / BLOCKED,evidence_based_probes,,grn-print-guard|breakage-print-unconditional
C26-26.5-001,NOT APPLICABLE,category_verification,Optional capability — not mandatory for compliance,
C26-26.6-001,UNVERIFIED / BLOCKED,evidence_based_probes,,grn-print-guard|breakage-print-unconditional
C26-26.7-001,UNVERIFIED / BLOCKED,evidence_based_probes,,
C27-27.1-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-large
C27-27.1-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-server
C27-27.1-003,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-debounce
C27-27.1-004,UNVERIFIED / BLOCKED,evidence_based_probes,,grn-print-guard|breakage-print-unconditional
C27-27.2-001,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C27-27.2-002,UNVERIFIED / BLOCKED,evidence_based_probes,,
C28-28.1-001,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C28-28.1-002,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C28-28.1-003,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C28-28.1-004,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C28-28.2-001,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C28-28.3-001,UNVERIFIED / BLOCKED,evidence_based_probes,,qa-matrix-not-run
C28-28.4-001,PARTIAL,evidence_based_probes,,keyboard-directive-exists|keyboard-template-adoption|qa-matrix-not-run
C28-28.5-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C29-29.1-001,PARTIAL,evidence_based_probes,,governance-docs-exist
C29-29.2-001,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C29-29.2-002,UNVERIFIED / BLOCKED,evidence_based_probes,,
C29-29.2-003,UNVERIFIED / BLOCKED,evidence_based_probes,,
C29-29.3-001,PARTIAL,evidence_based_probes,,qa-matrix-not-run|governance-docs-exist
C29-29.5-001,PARTIAL,evidence_based_probes,,governance-docs-exist
C29-29.6-001,PARTIAL,evidence_based_probes,,governance-docs-exist
C29-29.6-002,PARTIAL,evidence_based_probes,,governance-docs-exist
C29-29.7-001,PARTIAL,evidence_based_probes,,governance-docs-exist
C29-29.7-002,PARTIAL,evidence_based_probes,,governance-docs-exist
C29-29.8-001,PARTIAL,evidence_based_probes,,governance-docs-exist
C29-29.8-002,PARTIAL,evidence_based_probes,,governance-docs-exist
C29-29.8-003,PARTIAL,evidence_based_probes,,governance-docs-exist
CA-A-001,NOT APPLICABLE,category_verification,Reference/index row — not an enforceable requirement,
CA-A-002,NOT APPLICABLE,category_verification,Reference/index row — not an enforceable requirement,
CA-A-003,NOT APPLICABLE,category_verification,Reference/index row — not an enforceable requirement,
CA-A-004,NOT APPLICABLE,category_verification,Reference/index row — not an enforceable requirement,
CA-A-005,NOT APPLICABLE,category_verification,Reference/index row — not an enforceable requirement,
CA-A-006,NOT APPLICABLE,category_verification,Reference/index row — not an enforceable requirement,
CA-A-007,NOT APPLICABLE,category_verification,Reference/index row — not an enforceable requirement,
CA-A-008,NOT APPLICABLE,category_verification,Reference/index row — not an enforceable requirement,
CA-A-009,NOT APPLICABLE,category_verification,Reference/index row — not an enforceable requirement,
CB-B-002,NOT APPLICABLE,category_verification,Excluded pending ratification,
